Frame,Player_1_X,Player_2_X,Player_3_X,Player_4_X,Player_5_X,Player_6_X,Player_7_X,Player_8_X,Player_9_X,Player_10_X,Player_11_X,Player_12_X,Player_13_X,Player_14_X,Player_15_X,Player_16_X,Player_17_X,Player_18_X,Player_19_X,Player_20_X,Player_21_X,Player_22_X,Player_23_X,Player_24_X,Player_25_X,Player_26_X,Player_27_X,Player_28_X,Player_29_X,Player_30_X,Player_31_X,Player_32_X,Player_33_X,Player_34_X,Player_35_X,Player_36_X,Player_37_X,Player_38_X,Player_39_X,Player_40_X,Player_1_Y,Player_2_Y,Player_3_Y,Player_4_Y,Player_5_Y,Player_6_Y,Player_7_Y,Player_8_Y,Player_9_Y,Player_10_Y,Player_11_Y,Player_12_Y,Player_13_Y,Player_14_Y,Player_15_Y,Player_16_Y,Player_17_Y,Player_18_Y,Player_19_Y,Player_20_Y,Player_21_Y,Player_22_Y,Player_23_Y,Player_24_Y,Player_25_Y,Player_26_Y,Player_27_Y,Player_28_Y,Player_29_Y,Player_30_Y,Player_31_Y,Player_32_Y,Player_33_Y,Player_34_Y,Player_35_Y,Player_36_Y,Player_37_Y,Player_38_Y,Player_39_Y,Player_40_Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,322,1730,1144,1146,908,950,896,1314,379,350,302,745,781,475,1028,855,460,1489,575,913,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,353,512,376,606,297,170,850,401,832,472,374,426,94,168,264,233,247,116,182,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,323,1725,1140,1144,896,953,911,1320,372,328,296,739,770,480,1021,847,448,1495,572,939,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,353,510,375,608,297,180,851,396,830,468,372,425,94,170,268,234,247,115,220,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,322,1726,1137,938,890,1145,1682,1323,368,322,296,739,768,954,1017,840,446,1496,571,876,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,353,510,221,608,375,492,850,397,828,466,371,424,297,171,269,233,247,116,169,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,321,1726,1135,938,882,1144,1682,1325,364,322,298,737,767,954,1016,834,442,1496,573,874,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,353,511,224,607,376,492,850,396,827,464,369,422,297,171,269,233,249,118,168,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,311,1724,1134,937,876,1144,1683,1326,364,319,300,734,767,954,1016,833,441,1496,571,873,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,354,512,224,608,377,492,849,395,824,462,370,421,297,170,268,232,249,118,168,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,312,1723,1133,934,876,956,1685,1326,364,318,302,735,765,1145,1015,833,441,1495,568,866,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,353,512,224,607,297,493,848,394,818,458,371,421,379,168,268,230,250,118,168,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,312,1724,1129,931,876,958,1685,1328,363,316,303,731,763,1146,1013,830,442,1495,567,863,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,354,512,222,605,297,494,847,390,815,455,371,422,379,168,267,228,249,117,168,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,313,1725,1127,1146,872,484,903,1327,361,311,303,728,759,959,1010,826,441,1496,568,932,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,356,512,381,605,93,179,846,389,815,454,370,422,296,170,269,228,250,117,223,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
