Frame,Ball_X,Ball_Y,Ball_Vx,Ball_Vy,Ref_1_X,Ref_1_Y,Ref_2_X,Ref_2_Y,Ref_3_X,Ref_3_Y,GK_X,GK_Y,Player_1_X,Player_1_Y,Player_2_X,Player_2_Y,Player_3_X,Player_3_Y,Player_4_X,Player_4_Y,Player_5_X,Player_5_Y,Player_6_X,Player_6_Y,Player_7_X,Player_7_Y,Player_8_X,Player_8_Y,Player_9_X,Player_9_Y,Player_10_X,Player_10_Y,Player_11_X,Player_11_Y,Player_12_X,Player_12_Y,Player_13_X,Player_13_Y,Player_14_X,Player_14_Y,Player_15_X,Player_15_Y,Player_16_X,Player_16_Y,Player_17_X,Player_17_Y,Player_18_X,Player_18_Y,Player_19_X,Player_19_Y,Player_20_X,Player_20_Y,Player_21_X,Player_21_Y,Player_22_X,Player_22_Y
0,0,0,0,0,1789,79,1278,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1792,80,0,0,0,0,0,0,339,558,1730,351,1152,511,946,222,916,606,1148,373,1678,492,1313,849,377,404,356,840,302,479,751,374,785,424,946,297,1033,170,866,263,462,237,1488,248,573,118,900,170,920,182,480,96
2,0,0,0,0,1797,79,0,0,0,0,0,0,335,558,1730,351,1151,511,946,223,912,607,1149,375,1680,492,1315,849,379,403,355,838,301,477,751,373,784,424,947,297,1033,169,861,265,462,236,1487,248,573,118,900,171,915,180,478,95
3,0,0,0,0,0,0,0,0,0,0,0,0,328,557,1730,351,1149,512,943,223,909,607,1149,376,1680,492,1315,849,379,402,353,836,301,475,749,374,782,425,949,296,1030,168,856,265,461,234,1487,248,573,117,898,172,913,180,476,95
4,601,174,0,0,1812,78,0,0,0,0,0,0,322,556,1730,352,1144,512,941,224,907,606,1146,376,1679,492,1314,849,379,401,350,832,301,472,745,374,781,425,950,296,1028,168,854,264,459,233,1488,247,574,116,896,171,912,181,474,94
5,601,174,0,0,1817,78,0,0,0,0,0,0,320,555,1729,352,1141,512,939,223,903,605,1145,376,1679,492,1314,849,377,398,345,830,301,470,742,374,779,426,949,296,1025,167,853,264,457,232,1490,247,574,116,890,168,912,180,474,93
6,601,174,0,0,1821,79,0,0,0,0,0,0,321,552,1728,353,1140,511,939,220,899,605,1143,376,1679,491,1316,849,375,397,338,829,299,468,740,373,775,426,950,296,1024,169,851,265,454,232,1492,247,573,115,885,167,913,179,477,93
7,590,168,-11,-6,479,94,0,0,0,0,0,0,321,550,1725,353,1139,510,939,220,895,607,1143,375,1679,491,1319,850,373,395,330,829,296,467,738,372,770,425,952,296,1021,169,847,266,449,233,1494,247,572,114,881,168,911,179,479,93
8,587,166,-3,-2,480,93,0,0,0,0,0,0,321,547,1725,352,1136,510,937,220,890,607,1143,375,1681,491,1321,850,368,396,323,828,296,465,738,371,768,424,953,297,1018,170,841,268,446,232,1495,247,571,115,876,168,909,179,478,92
9,584,166,-3,0,478,93,1841,80,0,0,0,0,320,546,1725,353,1135,510,937,222,883,606,1143,375,1682,491,1324,850,365,395,320,826,297,463,736,369,766,422,953,297,1015,170,835,269,442,232,1496,248,572,116,874,167,909,179,478,92
10,581,166,-3,0,767,422,479,93,0,0,0,0,313,545,1724,353,1133,511,936,223,877,607,1143,376,1682,491,1325,849,363,394,317,824,299,461,734,369,766,421,954,297,1015,170,832,268,440,232,1496,249,571,117,872,167,907,179,478,92
11,578,166,-3,0,1857,76,480,93,0,0,0,0,311,545,1723,353,1133,511,934,223,874,607,1144,378,1684,493,1326,848,363,393,316,819,300,458,734,370,764,420,955,297,1014,169,831,268,440,230,1495,249,569,117,867,167,904,180,477,92
12,575,166,-3,0,1865,76,483,93,0,0,0,0,311,544,1723,353,1129,511,931,222,874,605,1145,378,1685,493,1327,847,362,390,314,816,302,455,731,370,762,421,957,297,1013,168,829,267,440,229,1495,249,567,117,863,167,903,178,478,91
